id,substance,other_names,used_for
557-34-6,ZINC ACETATE,"ZINC ACETATE; ACETIC ACID, ZINC SALT; ZINC DIACETATE; ZINC(II) ACETATE",
3486-35-9,ZINC CARBONATE,"ZINC CARBONATE; CARBONIC ACID, ZINC SALT (1:1); C.I. 77950; ZINC MONOCARBONATE",NUTRIENT SUPPLEMENT
7646-85-7,ZINC CHLORIDE,ZINC CHLORIDE; BUTTER OF ZINC; ZINC CHLORIDE (ZNCL2); ZINC(II) CHLORIDE; ZINC BUTTER,NUTRIENT SUPPLEMENT
1314-13-2,ZINC OXIDE,ZINC OXIDE; FLOWERS OF ZINC; ZINC OXIDE (ZNO),COLOR OR COLORING ADJUNCT; NUTRIENT SUPPLEMENT
7446-20-0,ZINC SULFATE,"ZINC SULFATE; ZINC SULFATE HEPTAHYDRATE; SULFURIC ACID, ZINC SALT (1:1), HEPTAHYDRATE; ZINC SULFATE (ZNSO4) HEPTAHYDRATE",MALTING OR FERMENTING AID; NUTRIENT SUPPLEMENT
7647-01-0,HYDROCHLORIC ACID,HYDROCHLORIC ACID; MURIATIC ACID; HYDROGEN CHLORIDE; CHLOROHYDRIC ACID,FORMULATION AID; PH CONTROL AGENT
7681-65-4,CUPROUS IODIDE,CUPROUS IODIDE; COPPER(I) IODIDE; COPPER IODIDE (CUI); COPPER(1+) IODIDE,
7758-98-7,COPPER SULFATE,"COPPER(II) SULFATE, ANHYDROUS; CUPRIC SULFATE; CUPRIC SULFATE, ANHYDROUS; COPPER(II) SULFATE; SULFURIC ACID COPPER(2+) SALT (1:1)",NUTRIENT SUPPLEMENT; PROCESSING AID
7440-02-0,NICKEL,NICKEL; RANEY NICKEL,PROCESSING AID
9000-71-9,CASEIN,CASEIN; CASEINE; CASEINS,EMULSIFIER OR EMULSIFIER SALT; FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; FORMULATION AID; NUTRIENT SUPPLEMENT; PROCESSING AID; STABILIZER OR THICKENER; SURFACE-FINISHING AGENT; TEXTURIZER
9005-43-0,CALCIUM CASEINATE,"CALCIUM CASEINATE; CASEINS, CALCIUM COMPLEXES; CASEINATE, CA; CASEINATE, CALCIUM SALT",COLOR OR COLORING ADJUNCT; FORMULATION AID; NUTRIENT SUPPLEMENT; STABILIZER OR THICKENER; TEXTURIZER
9005-46-3,SODIUM CASEINATE,"SODIUM CASEINATE; CASEINS, SODIUM COMPLEXES; CASEINATE, NA; CASEINATE, SODIUM SALT",ANTICAKING AGENT OR FREE-FLOW AGENT; DRYING AGENT; EMULSIFIER OR EMULSIFIER SALT; FLAVORING AGENT OR ADJUVANT; FORMULATION AID; NUTRIENT SUPPLEMENT; PH CONTROL AGENT; SOLVENT OR VEHICLE; STABILIZER OR THICKENER; TEXTURIZER
50-14-6,VITAMIN D-2,"ERGOCALCIFEROL; ERGOSTEROL, IRRADIATED; OLEOVITAMIN D; VIOSTEROL; VITAMIN D2; CALCIFEROL; 9,10-SECO(5Z,7E,22E)-5,7,10(19),22-ERGOSTATETRAEN-3-OL; 9,10-SECOERGOSTA-5,7,10(19),22-TETRAEN-3-OL, (3BETA,5Z,7E,22E); ERGOSTEROL, ACTIVATED",NUTRIENT SUPPLEMENT
67-97-0,VITAMIN D-3,"CHOLECALCIFEROL; VITAMIN D3; 9,10-SECO(5Z,7E)-5,7,10(19)-CHOLESTATRIEN-3-OL; 9,10-SECOCHOLESTA-5,7,10(19)-TRIEN-3-OL, (3BETA,5Z,7E); 7-DEHYDROCHOLESTEROL, IRRADIATED; IRRADIATED 7-DEHYDROCHOLESTEROL; 9,10-secocholesta-5,7,10(19)-trien-3beta-ol; oleovitamin D3",NUTRIENT SUPPLEMENT
431-03-8,DIACETYL,"DIACETYL; 2,3-BUTANEDIONE; BIACETYL; DIMETHYLGLYOXAL; BUTANEDIONE; DIMETHYL DIKETONE; 2,3-DIKETOBUTANE; 2,3-BUTADIONE; 2,3-DIOXOBUTANE",FLAVORING AGENT OR ADJUVANT
977019-27-4,BUTTER STARTER DISTILLATE,STARTER DISTILLATE; BUTTER STARTER DISTILLATE,FLAVORING AGENT OR ADJUVANT; MALTING OR FERMENTING AID
137-08-6,CALCIUM PANTOTHENATE,"CALCIUM PANTOTHENATE; CALCIUM D-PANTOTHENATE; BETA-ALANINE, N-(2,4-DIHYDROXY-3,3-DIMETHYL-1-OXOBUTYL)-, CALCIUM SALT (2:1), (R); CALCIUM N-(2,4-DIHYDROXY-3,3-DIMETHYL-1-OXOBUTYL)-BETA-ALANINE (1:2), (R); CALCIUM, BIS(PANTOTHENATO); BIS(PANTOTHENATO)CALCIUM; PANTOTHENIC ACID, CALCIUM SALT (2:1), D; CALCIUM D-PANTOTHENATE (1:2); calcium d-(+)-N-(alpha,gamma-dihydroxy-beta,beta-dimethylbutyryl)-beta-alaninate; N-(2,4-dihydroxy-3,3-dimethylbutyryl)-beta-alanine calcium",NUTRIENT SUPPLEMENT
81-13-0,D-PANTOTHENYL ALCOHOL,"DEXPANTHENOL; PANTOTHENYL ALCOHOL, D; ALPHA,GAMMA-DIHYDROXY-N-(3-HYDROXYPROPYL)-BETA,BETA-DIMETHYLBUTYRAMIDE, D-(+); PANTOTHENOL, D; BUTANAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL-, (R); 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYLBUTANAMIDE, (R); BUTYRAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL-, D-(+); 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYLBUTYRAMIDE, D-(+)",NUTRIENT SUPPLEMENT
